Team,GP,W,L,AGT,K,D,KD,CKPM,GPR,GSPD,EGR,MLR,GD15,FB%,FT%,F3T%,PPG,HLD%,GRB%,FD%,DRG%,ELD%,FBN%,BN%,LNE%,JNG%,WPM,CWPM,WCPM
Gen.G,2,2,0,33.1,42,16,2.63,0.88,2.27,0.176,83.5,16.5,2139,1,1,1,,0.75,,0.5,0.8,,1,1,0.501,0.585,4.16,1.71,2.37
Hanwha Life Esports,3,1,2,30.2,33,44,0.75,0.85,-1.64,-0.117,27.5,5.8,-1928,0,0,0.33,,0.33,,0.67,0.5,,0.33,0.33,0.485,0.447,3.56,1.58,1.68
KT Rolster,2,0,2,33.1,16,42,0.38,0.88,-2.27,-0.176,16.5,-16.5,-2139,0,0,0,,0.25,,0.5,0.2,,0,0,0.499,0.415,4.47,1.54,1.96
T1,3,2,1,30.2,44,34,1.29,0.85,1.64,0.117,72.5,-5.8,1928,1,1,0.67,,0.67,,0.33,0.5,,0.67,0.67,0.515,0.553,3.24,1.48,1.61
DN Freecs,3,1,2,35,31,26,1.19,0.54,0.95,0.042,76.5,-43.2,2453,0.67,1,1,,1,,0.67,0.6,,0.33,0.33,0.504,0.466,3.6,1.74,2.09
DRX,3,2,1,35,26,31,0.84,0.54,-0.95,-0.042,23.5,43.2,-2453,0.33,0,0,,0,,0.33,0.4,,0.67,0.67,0.496,0.534,4.03,1.21,1.68
Liiv SANDBOX,3,1,2,29.8,40,24,1.67,0.72,0.67,0.049,63.4,-30.1,1912,0.67,0.33,0.67,,0.5,,0.67,0.54,,0.33,0.33,0.5,0.489,3.37,1.67,1.35
Nongshim RedForce,3,2,1,29.8,24,41,0.59,0.72,-0.67,-0.049,36.6,30.1,-1912,0.33,0.67,0.33,,0.5,,0.33,0.46,,0.67,0.67,0.5,0.511,3.46,1.45,1.53
BRION,2,0,2,31.8,10,33,0.3,0.68,-1.85,-0.134,37.3,-37.3,-1244,0.5,0,0,,0.33,,0.5,0.33,,0,0,0.477,0.419,3.96,1.58,1.5
Dplus KIA,3,2,1,36.7,38,18,2.11,0.51,0.38,0.052,52.5,14.1,429,0.33,0.67,0.67,,0.8,,0.33,0.75,,1,0.8,0.48,0.565,4.22,1.55,2.2
Gen.G,3,1,2,36.7,18,38,0.47,0.51,-0.38,-0.052,47.5,-14.1,-429,0.67,0.33,0.33,,0.2,,0.67,0.25,,0,0.2,0.52,0.435,4.51,1.7,2.11
